k, không
pit, biết
dx, được
thox, thôi
ad, admin
ko, không
sp, sản phẩm
khg, không
ntn, như thế nào 
hk, không 
sdt, số điện thoại 
tks, thank 
s, sao
e, em
dc, được
dt, điện thoại
nt, nhắn tin
b, bạn
fb, facebook 
j, gì
lm, làm
bt, biết
đt, điện thoại
kg, không
hn, hà nội
cv, công việc
pt, biết
trc, trước
hum, hôm
hcm, hồ chí minh
vs, với
ns, nói
sd, sử dụng
tk, thank
tks, thanks
dx, được
fai, phải
s.p, sản phẩm
r, rồi
t2, thứ 2
cn, chủ nhật
t3, thứ 3
t4, thứ 4
t5, thứ 5
t6, thứ 6
t7, thứ 7
mk, mình
j, gì
lzd, lazada
cty, công ty
tp, thành phố
lg, làm gì
bh, bây giờ
sx, sản xuất
lm, làm
km, khuyến mại
tquoc, trung quốc
tq, trung quốc
cl, chất lượng
mn, mọi người
